pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
117,66.0,11.9,0.15627651098408582,0.1725291396542299,0.1024,0.21603230857279196,0.1024,338912.0,244128.0,160.0,113.0,27.0,80.0,0.0,1.0
118,81.0,10.1,0.3542929060730811,0.1024,0.1740879481674622,0.268082649250345,0.1024,415264.0,207520.0,363.0,13.0,135.0,196.0,37.0,1.0
119,54.6,5.45,0.1024,0.1024,0.11203725420310383,0.15075395223997853,0.1024,280352.0,112416.0,8.0,13.0,53.0,40.0,55.0,1.0
120,48.2,5.25,0.1024,0.137786353469435,0.157688476268492,0.2028499741235547,0.1024,247488.0,107552.0,89.0,84.0,118.0,121.0,94.0,1.0
121,49.2,4.65,0.15911319872255733,0.1024,0.1024,0.2804141705486706,0.1024,252480.0,95392.0,162.0,0.0,0.0,132.0,53.0,1.0
122,63.0,9.95,0.19047202834506569,0.12148389468675426,0.16793596208624098,0.24282866745975348,0.1024,323104.0,204576.0,196.0,84.0,135.0,167.0,95.0,1.0
123,46.4,3.3,0.1024,0.1024,0.14674048719226498,0.22596956867426202,0.24065434466442132,238560.0,67616.0,100.0,17.0,103.0,138.0,248.0,1.0
124,60.2,8.4,0.2609455869930851,0.10425873630394183,0.10615121187202028,0.3607239323108456,0.1024,309152.0,172192.0,267.0,65.0,93.0,253.0,89.0,1.0
125,46.0,5.05,0.1024,0.1024,0.1024,0.2102809627092118,0.10425873630394183,236224.0,103840.0,71.0,12.0,52.0,95.0,107.0,1.0
126,39.6,3.95,0.14412438152599996,0.1024,0.1634650669350853,0.268082649250345,0.1024,203392.0,81152.0,147.0,38.0,131.0,192.0,59.0,1.0
127,34.0,5.35,0.1024,0.15487718863980784,0.11407092326346777,0.23424749571260373,0.18876651442269293,174240.0,110176.0,60.0,90.0,81.0,128.0,195.0,1.0
128,56.4,16.05,0.8709384350146522,0.15211602095849217,0.24282866745975348,0.27050478800753586,0.1024,289408.0,329216.0,899.0,221.0,221.0,239.0,0.0,1.0
129,47.0,3.7,0.1024,0.11407092326346777,0.10905452905988393,0.23215000996264873,0.1024,241280.0,76704.0,5.0,41.0,71.0,123.0,41.0,2.0
130,43.4,3.8,0.1024,0.1788493872806009,0.1024,0.21995366692014168,0.1024,222560.0,78048.0,0.0,94.0,0.0,69.0,55.0,2.0
131,41.6,3.15,0.1024,0.1024,0.14155491608144893,0.22801121386003648,0.1024,213984.0,64672.0,62.0,0.0,97.0,137.0,54.0,2.0
132,88.4,10.85,0.2804141705486706,0.14674048719226498,0.14674048719226498,0.23636393234036387,0.1024,452768.0,222976.0,287.0,118.0,114.0,149.0,18.0,2.0
133,73.6,10.8,0.19744957652881365,0.16945327103418178,0.12822012816031303,0.21218086063659222,0.1024,376960.0,222112.0,203.0,127.0,93.0,113.0,0.0,2.0
134,82.0,8.85,0.1024,0.1854011640859773,0.1024,0.34177276869550477,0.1024,420256.0,182144.0,104.0,115.0,23.0,193.0,98.0,2.0
135,96.4,41.35,0.8788074028291496,0.42411873427091507,0.3387124861943804,0.3068050166788469,0.1024,493984.0,847360.0,908.0,518.0,361.0,330.0,75.0,2.0
136,77.0,17.6,0.7145785188965031,0.27050478800753586,0.27050478800753586,0.268082649250345,0.1024,394304.0,360640.0,738.0,327.0,263.0,252.0,59.0,2.0
137,36.6,3.7,0.1024,0.1024,0.1024,0.2906865627912965,0.1270720267009761,187744.0,75776.0,93.0,17.0,48.0,166.0,131.0,2.0
138,45.0,4.2,0.1024,0.24282866745975348,0.1024,0.3180441828991698,0.1024,231072.0,86944.0,104.0,181.0,73.0,193.0,57.0,2.0
139,62.0,5.9,0.1024,0.1024,0.1024,0.2609455869930851,0.1024,318176.0,121376.0,34.0,6.0,0.0,113.0,71.0,2.0
140,50.8,6.45,2.855041705383049,0.1024,0.17566084058551082,0.21603230857279196,0.1024,260672.0,132096.0,2938.0,388.0,129.0,143.0,0.0,2.0
141,69.0,19.05,0.48103309483074475,0.28550417053830485,0.15487718863980784,0.3607239323108456,0.1024,353408.0,390816.0,495.0,289.0,165.0,281.0,101.0,2.0
142,59.6,18.5,0.37059000896020594,0.24947021805073416,0.19392942359868295,0.29863706358303954,0.1024,306080.0,378976.0,383.0,245.0,188.0,240.0,76.0,2.0
143,57.0,5.8,0.5215923421982858,0.1024,0.1024,0.19744957652881365,0.1024,292480.0,119776.0,537.0,93.0,40.0,76.0,72.0,2.0
144,43.4,3.65,0.13291720693948222,0.1024,0.1024,0.27790330175572137,0.1024,222880.0,75008.0,136.0,18.0,14.0,136.0,15.0,2.0
145,63.4,12.45,0.23424749571260373,0.16793596208624098,0.1024,0.3180441828991698,0.1024,325472.0,255808.0,241.0,125.0,83.0,205.0,59.0,2.0
146,49.2,10.9,0.23424749571260373,0.1317270471615462,0.1024,0.20653205040438585,0.1024,252576.0,223648.0,241.0,84.0,27.0,75.0,0.0,2.0
147,34.0,6.15,0.1052007186615606,0.1921929516622048,0.1024,0.27294881089701023,0.1024,174208.0,126176.0,108.0,121.0,7.0,121.0,71.0,2.0
148,71.8,9.1,0.15627651098408582,0.1820958115879857,0.1024,0.2300713054016148,0.14412438152599996,367648.0,186912.0,160.0,123.0,25.0,91.0,149.0,2.0
149,45.0,8.85,0.14283387109577214,0.12822012816031303,0.1024,0.268082649250345,0.1024,230880.0,181824.0,146.0,65.0,29.0,133.0,23.0,2.0
150,52.6,8.05,0.24065434466442132,0.17098428893650555,0.1024,0.26330324207274547,0.1024,269728.0,165664.0,248.0,127.0,57.0,141.0,0.0,2.0
151,49.6,5.85,0.1024,0.14155491608144893,0.1024,0.2028499741235547,0.1024,253984.0,120448.0,0.0,62.0,33.0,74.0,39.0,2.0
152,42.0,3.9,0.13903125935157085,0.1024,0.17724794415708725,0.1024,0.1024,215616.0,80352.0,142.0,40.0,105.0,0.0,47.0,2.0
153,44.0,5.05,0.1024,0.1024,0.1024,0.22194095816380596,0.1024,225344.0,103616.0,0.0,6.0,8.0,81.0,75.0,2.0
154,55.8,6.9,0.1024,0.10425873630394183,0.1024,0.3356796059026902,0.1024,286304.0,141568.0,19.0,22.0,31.0,197.0,0.0,2.0
155,84.8,31.75,0.1788493872806009,0.20468273273584747,0.12593420550714696,0.2933129289209221,0.1024,434752.0,650528.0,184.0,161.0,112.0,195.0,0.0,2.0
156,37.4,5.8,0.1024,0.1024,0.1024,0.23215000996264873,0.12039611043028081,191808.0,119776.0,85.0,20.0,0.0,86.0,124.0,2.0
157,80.4,17.25,0.455761311985254,0.1024,0.30957701376212127,0.24065434466442132,0.16945327103418178,412320.0,354208.0,468.0,103.0,275.0,246.0,174.0,2.0
158,67.8,7.65,0.1024,0.20653205040438585,0.1024,0.3876367615240837,0.1402874130141752,347360.0,157152.0,97.0,136.0,45.0,245.0,144.0,2.0
159,53.6,16.4,0.4598791358760376,0.14412438152599996,0.1494040796805694,0.28550417053830485,0.1024,275104.0,336672.0,473.0,141.0,127.0,201.0,29.0,2.0
160,81.8,6.0,0.18876651442269293,0.1024,0.1024,0.17098428893650555,0.17724794415708725,419040.0,123456.0,194.0,13.0,9.0,36.0,183.0,2.0
161,47.2,7.1,0.1024,0.1024,0.1024,0.22394620467296977,0.1024,241824.0,145952.0,0.0,0.0,37.0,99.0,5.0,2.0
162,50.4,5.3,0.18707627191715065,0.1024,0.1024,0.24282866745975348,0.1024,258752.0,109536.0,192.0,0.0,0.0,97.0,100.0,2.0
163,43.4,5.5,0.1024,0.13054754424534865,0.1024,0.16494198114485398,0.1740879481674622,222272.0,113184.0,72.0,57.0,0.0,21.0,180.0,2.0
164,84.0,20.0,0.8104709569957028,0.2517241926574282,0.2450226353590413,0.28294772515375516,0.268082649250345,430880.0,409664.0,838.0,316.0,239.0,253.0,277.0,2.0
165,47.2,5.35,0.1024,0.1024,0.1024,0.2300713054016148,0.1024,242400.0,109600.0,87.0,0.0,0.0,85.0,89.0,2.0
166,53.6,5.0,0.1024,0.1024,0.1024,0.25629342015227985,0.1024,274752.0,102912.0,0.0,0.0,21.0,119.0,0.0,2.0
