pnn,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,FS,SS,FL1,FL2,FL3,FL4,FL5,TIME
pns,FS Lin,SS Lin,FL1 Log,FL2 Log,FL3 Log,FL4 Log,FL5 Log,,,,,,,,
86,69.8,6.35,8.326379602565499,0.1024,0.49418971949403295,0.11203725420310383,0.17098428893650555,357600.0,130848.0,8593.0,1063.0,420.0,217.0,176.0,1.0
87,55.8,20.0,0.1024,0.1024,0.10332518859176422,0.23424749571260373,0.1024,286144.0,410400.0,16.0,0.0,60.0,121.0,93.0,1.0
88,47.2,4.3,0.1024,0.1024,0.13655259465352437,0.18374105541112293,0.1024,242400.0,88928.0,51.0,39.0,87.0,89.0,64.0,1.0
89,50.8,8.75,12.03961104302808,0.1024,0.5215923421982858,0.1353298830914057,0.1024,260768.0,179328.0,12403.0,1535.0,451.0,258.0,0.0,1.0
90,34.6,3.4,0.1024,0.1024,0.1024,0.18876651442269293,0.1024,177888.0,70592.0,79.0,5.0,32.0,65.0,0.0,1.0
91,49.4,5.55,0.1341181198643804,0.10332518859176422,0.1921929516622048,0.21995366692014168,0.1024,253184.0,114464.0,137.0,61.0,153.0,157.0,74.0,1.0
92,31.0,3.0,0.1024,0.1024,0.1317270471615462,0.24065434466442132,0.1024,159008.0,62048.0,0.0,9.0,92.0,145.0,4.0,1.0
93,80.4,6.7,0.7818302262664546,0.1024,0.1024,0.2028499741235547,0.1024,412320.0,137536.0,807.0,25.0,41.0,87.0,0.0,1.0
94,50.4,9.25,3.7731685567439013,0.1024,0.20103362629533755,0.2656821986717712,0.1024,258592.0,190080.0,3891.0,526.0,167.0,209.0,79.0,1.0
95,61.2,5.1,0.11407092326346777,0.1317270471615462,0.1725291396542299,0.1740879481674622,0.1024,313984.0,105184.0,117.0,85.0,127.0,100.0,0.0,1.0
96,45.4,13.8,1.4806629407410294,0.1024,0.24282866745975348,0.19923354230667628,0.1024,232608.0,283360.0,1530.0,208.0,195.0,165.0,0.0,1.0
97,35.2,7.7,1.402874130141752,0.3448607009862543,1.0807803912996896,0.3387124861943804,0.8867474671207071,180608.0,158208.0,1442.0,633.0,1125.0,785.0,916.0,1.0
